"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"346","AK4",0.449350600184477,7.0996857690772,23.2880225256596,4.47740361572423e-06,"P27144","P27144","reviewed","KAD4_HUMAN","Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)","AK4 AK3 AK3L1","FUNCTION: Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates (PubMed:19073142, PubMed:19766732, PubMed:23416111, PubMed:24767988). Efficiently phosphorylates AMP and dAMP using ATP as phosphate donor, but phosphorylates only AMP when using GTP as phosphate donor (PubMed:19073142, PubMed:19766732, PubMed:23416111). Also displays broad nucleoside diphosphate kinase activity (PubMed:19073142, PubMed:19766732, PubMed:23416111). Plays a role in controlling cellular ATP levels by regulating phosphorylation and activation of the energy sensor protein kinase AMPK (PubMed:24767988, PubMed:26980435). Plays a protective role in the cellular response to oxidative stress (PubMed:19130895, PubMed:23474458, PubMed:26980435). {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:19073142, ECO:0000269|PubMed:19130895, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:23416111, ECO:0000269|PubMed:23474458, ECO:0000269|PubMed:24767988, ECO:0000269|PubMed:26980435}.","AK4","cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; nucleoside diphosphate kinase activity [GO:0004550]; nucleoside monophosphate kinase activity [GO:0050145]; nucleoside triphosphate adenylate kinase activity [GO:0046899]; ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; cellular response to hypoxia [GO:0071456]; GTP metabolic process [GO:0046039]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]; regulation of ATP biosynthetic process [GO:2001169]; regulation of oxidative phosphorylation [GO:0002082]","","SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:11485571, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:26980435}.","ENST00000327299.8;ENST00000395334.6;ENST00000545314.5;",0.000275346242481456
"358","AKAP5",-0.988070012129089,3.45281417767134,16.4328179043257,9.38115677522817e-05,"P24588","P24588","reviewed","AKAP5_HUMAN","A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 79 kDa) (AKAP 79) (H21) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)","AKAP5 AKAP79","FUNCTION: Multivalent scaffold protein that anchors the cAMP-dependent protein kinase/PKA to cytoskeletal and/or organelle-associated proteins, targeting the signal carried by cAMP to specific intracellular effectors (PubMed:1512224). Association with the beta2-adrenergic receptor (beta2-AR) not only regulates beta2-AR signaling pathway, but also the activation by PKA by switching off the beta2-AR signaling cascade. Plays a role in long term synaptic potentiation by regulating protein trafficking from the dendritic recycling endosomes to the plasma membrane and controlling both structural and functional plasticity at excitatory synapses (PubMed:25589740). {ECO:0000269|PubMed:1512224, ECO:0000269|PubMed:25589740}.","AKAP5","anchoring junction [GO:0070161]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; dendrite membrane [GO:0032590]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic recycling endosome [GO:0098837]; protein serine/threonine phosphatase complex [GO:0008287]; adenylate cyclase binding [GO:0008179]; beta-2 adrenergic receptor binding [GO:0031698]; calmodulin binding [GO:0005516]; GABA receptor binding [GO:0050811]; glutamate receptor binding [GO:0035254]; molecular adaptor activity [GO:0060090]; protein kinase A binding [GO:0051018]; protein kinase A regulatory subunit binding [GO:0034237]; protein phosphatase 2B binding [GO:0030346]; scaffold protein binding [GO:0097110]; SH3 domain binding [GO:0017124]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; chemical synaptic transmission [GO:0007268]; negative regulation of adenylate cyclase activity [GO:0007194]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of voltage-gated calcium channel activity [GO:1901387]; regulation of protein kinase A signaling [GO:0010738]; signal transduction [GO:0007165]","Q08209-1; Q08209-2; P10644; P13861; P31323; Q9HAT0; Q96C74; Q9HBX9; P35561","SUBCELLULAR LOCATION: Postsynaptic recycling endosome membrane {ECO:0000269|PubMed:21771783, ECO:0000269|PubMed:25589740}; Lipid-anchor {ECO:0000269|PubMed:21771783}. Note=Associates with lipid rafts. {ECO:0000269|PubMed:21771783}.","ENST00000320636.5;ENST00000394718.4;",0.00369874802210408
"388","ALDH1L2",1.69036719332466,2.58970265940857,35.5129400089275,3.04330141006164e-08,"Q3SY69","Q3SY69","reviewed","AL1L2_HUMAN","Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)","ALDH1L2","FUNCTION: Mitochondrial 10-formyltetrahydrofolate dehydrogenase that catalyzes the NADP(+)-dependent conversion of 10-formyltetrahydrofolate to tetrahydrofolate and carbon dioxide. {ECO:0000269|PubMed:21238436}.","ALDH1L2","extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; formyltetrahydrofolate dehydrogenase activity [GO:0016155]; hydroxymethyl-, formyl- and related transferase activity [GO:0016742]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; fatty acid beta-oxidation [GO:0006635]; folic acid metabolic process [GO:0046655]; NADPH regeneration [GO:0006740]; one-carbon metabolic process [GO:0006730]","P42858","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:20498374}.","ENST00000258494.14 [Q3SY69-1];ENST00000552270.1 [Q3SY69-2];",4.16187429196962e-06
"389","ALDH2",0.971411549559222,5.91828535472326,57.890560083407,9.67167426063718e-12,"A0A384NPN7","A0A384NPN7","unreviewed","A0A384NPN7_HUMAN","Aldehyde dehydrogenase 2 family (Mitochondrial), isoform CRA_c (Epididymis secretory sperm binding protein)","ALDH2 hCG_2039620","","ALDH2","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; regulation of dopamine biosynthetic process [GO:1903179]; regulation of serotonin biosynthetic process [GO:1905627]","","","",3.43889566983674e-09
"428","ALPK2",0.884159698926004,4.40838310190828,19.797402102762,2.05493788730824e-05,"Q86TB3","Q86TB3","reviewed","ALPK2_HUMAN","Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase)","ALPK2 HAK","FUNCTION: Protein kinase that recognizes phosphorylation sites in which the surrounding peptides have an alpha-helical conformation (PubMed:10021370). Regulates cardiac development and cardiomyocyte differentiation by negatively regulating Wnt/beta-catenin signaling (PubMed:29888752). {ECO:0000269|PubMed:29888752, ECO:0000303|PubMed:10021370}.","ALPK2","basolateral plasma membrane [GO:0016323]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cardiac muscle cell development [GO:0055013]; epicardium morphogenesis [GO:1905223]; establishment of cell polarity [GO:0030010]; heart morphogenesis [GO:0003007]; negative regulation of Wnt signaling pathway involved in heart development [GO:0003308]; protein phosphorylation [GO:0006468]; regulation of apoptotic process [GO:0042981]; regulation of gene expression [GO:0010468]","","SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:28668886}.","ENST00000361673.4;",0.00106001953816031
"440","AMIGO2",0.845285852309045,8.92071170656727,85.5343299631932,1.90982934755989e-15,"Q86SJ2","Q86SJ2","reviewed","AMGO2_HUMAN","Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA)","AMIGO2 ALI1","FUNCTION: Required for depolarization-dependent survival of cultured cerebellar granule neurons. May mediate homophilic as well as heterophilic cell-cell interaction with AMIGO1 or AMIGO3. May contribute to signal transduction through its intracellular domain. May be required for tumorigenesis of a subset of gastric adenocarcinomas.","AMIGO2","integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; brain development [GO:0007420]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of apoptotic process [GO:0043066]; negative regulation of programmed cell death [GO:0043069]; positive regulation of synapse assembly [GO:0051965]","O00555; Q6PL24","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Note=Associated with nucleus as well as plasma membrane. Restricted to somata of cerebellar as well as hippocampal neurons (By similarity). {ECO:0000250}.","ENST00000266581.4;ENST00000429635.1;ENST00000550413.2;",1.13177644608731e-12
"470","ANK2",1.90712787768713,3.69079269201853,86.8817141253589,1.30142020285594e-15,"Q01484","Q01484","reviewed","ANK2_HUMAN","Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)","ANK2 ANKB","FUNCTION: Plays an essential role in the localization and membrane stabilization of ion transporters and ion channels in several cell types, including cardiomyocytes, as well as in striated muscle cells. In skeletal muscle, required for proper localization of DMD and DCTN4 and for the formation and/or stability of a special subset of microtubules associated with costameres and neuromuscular junctions. In cardiomyocytes, required for coordinate assembly of Na/Ca exchanger, SLC8A1/NCX1, Na/K ATPases ATP1A1 and ATP1A2 and inositol 1,4,5-trisphosphate (InsP3) receptors at sarcoplasmic reticulum/sarcolemma sites. Required for expression and targeting of SPTBN1 in neonatal cardiomyocytes and for the regulation of neonatal cardiomyocyte contraction rate (PubMed:12571597). In the inner segment of rod photoreceptors, required for the coordinated expression of the Na/K ATPase, Na/Ca exchanger and beta-2-spectrin (SPTBN1) (By similarity). Plays a role in endocytosis and intracellular protein transport. Associates with phosphatidylinositol 3-phosphate (PI3P)-positive organelles and binds dynactin to promote long-range motility of cells. Recruits RABGAP1L to (PI3P)-positive early endosomes, where RABGAP1L inactivates RAB22A, and promotes polarized trafficking to the leading edge of the migrating cells. Part of the ANK2/RABGAP1L complex which is required for the polarized recycling of fibronectin receptor ITGA5 ITGB1 to the plasma membrane that enables continuous directional cell migration (By similarity). {ECO:0000250|UniProtKB:Q8C8R3, ECO:0000269|PubMed:12571597}.","ANK2","A band [GO:0031672]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early endosome [GO:0005769]; intercalated disc [GO:0014704]; lysosome [GO:0005764]; M band [GO:0031430]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; recycling endosome [GO:0055037]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal anchor activity [GO:0008093]; enzyme binding [GO:0019899]; phosphorylation-dependent protein binding [GO:0140031]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; transmembrane transporter binding [GO:0044325]; atrial cardiac muscle cell action potential [GO:0086014]; atrial cardiac muscle cell to AV node cell communication [GO:0086066]; atrial septum development [GO:0003283]; cellular calcium ion homeostasis [GO:0006874]; endocytosis [GO:0006897]; membrane depolarization during SA node cell action potential [GO:0086046]; paranodal junction assembly [GO:0030913]; positive regulation of calcium ion transmembrane transporter activity [GO:1901021]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cation channel activity [GO:2001259]; positive regulation of gene expression [GO:0010628]; positive regulation of potassium ion transmembrane transporter activity [GO:1901018]; positive regulation of potassium ion transport [GO:0043268]; protein localization [GO:0008104]; protein localization to cell surface [GO:0034394]; protein localization to endoplasmic reticulum [GO:0070972]; protein localization to M-band [GO:0036309]; protein localization to organelle [GO:0033365]; protein localization to plasma membrane [GO:0072659]; protein localization to T-tubule [GO:0036371]; protein stabilization [GO:0050821]; protein transport [GO:0015031]; regulation of atrial cardiac muscle cell action potential [GO:0098910]; regulation of calcium ion transmembrane transporter activity [GO:1901019]; regulation of calcium ion transport [GO:0051924]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cardiac muscle contraction [GO:0055117]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of protein stability [GO:0031647]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; regulation of SA node cell action potential [GO:0098907]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]; response to methylmercury [GO:0051597]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell communication [GO:0086070]; sarcoplasmic reticulum calcium ion transport [GO:0070296]; T-tubule organization [GO:0033292]; ventricular cardiac muscle cell action potential [GO:0086005]","O00154; P11532-5; Q9NZN3; P62993; Q14654; P32418","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19007774}. Membrane {ECO:0000269|PubMed:19007774}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000250|UniProtKB:Q8C8R3}. Apical cell membrane {ECO:0000250|UniProtKB:Q8C8R3}. Cell membrane {ECO:0000269|PubMed:19007774}. Postsynaptic cell membrane {ECO:0000250|UniProtKB:Q8C8R3}. Early endosome {ECO:0000250|UniProtKB:Q8C8R3}. Recycling endosome {ECO:0000250|UniProtKB:Q8C8R3}. Lysosome {ECO:0000250|UniProtKB:Q8C8R3}. Mitochondrion {ECO:0000250|UniProtKB:Q8C8R3}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:Q8C8R3}. Cell membrane, sarcolemma, T-tubule {ECO:0000250|UniProtKB:Q8C8R3}. Note=Expressed at the apical membrane of airway lung epithelial cells (By similarity). Localized to the plasma membrane of the inner segments of photoreceptors in retina. Colocalizes with SPTBN1 in a distinct intracellular compartment of neonatal cardiomyocytes (PubMed:19007774). In skeletal muscle, localizes to neuromuscular junctions (By similarity). Localizes with puncta at mitochondria ends. Colocalizes and cotransports on motile vesicles with RABGAP1L (By similarity). {ECO:0000250|UniProtKB:Q8C8R3, ECO:0000269|PubMed:19007774}.","ENST00000357077.9 [Q01484-4];ENST00000394537.7 [Q01484-2];ENST00000506722.5 [Q01484-5];",8.20986241517766e-13
"486","ANKRD1",0.527145471831581,8.35473878166971,29.0130243705572,4.40439391552427e-07,"Q15327","Q15327","reviewed","ANKR1_HUMAN","Ankyrin repeat domain-containing protein 1 (Cardiac ankyrin repeat protein) (Cytokine-inducible gene C-193 protein) (Cytokine-inducible nuclear protein)","ANKRD1 C193 CARP HA1A2","FUNCTION: May play an important role in endothelial cell activation. May act as a nuclear transcription factor that negatively regulates the expression of cardiac genes. Induction seems to be correlated with apoptotic cell death in hepatoma cells. {ECO:0000269|PubMed:15805281, ECO:0000269|PubMed:7730328}.","ANKRD1","cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; I band [GO:0031674]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA binding [GO:0003677]; histone deacetylase binding [GO:0042826]; p53 binding [GO:0002039]; R-SMAD binding [GO:0070412]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; titin binding [GO:0031432]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; cardiac muscle tissue morphogenesis [GO:0055008]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to xenobiotic stimulus [GO:0071466]; negative regulation of DNA biosynthetic process [GO:2000279]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of protein secretion [GO:0050714]; protein kinase C signaling [GO:0070528]; regulation of transcription by RNA polymerase II [GO:0006357]; response to muscle stretch [GO:0035994]; sarcomere organization [GO:0045214]; skeletal muscle cell differentiation [GO:0035914]","Q96GN5; Q9UPY8; Q6FHY5; Q9UJ70-2; Q5MJ10; Q9NWS9-2","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15805281, ECO:0000269|PubMed:7730328}.","ENST00000371697.4;",4.10153940057108e-05
"488","ANKRD11",0.643678460213526,8.31099597674714,48.5306025960414,2.42509198063602e-10,"A0A2R8YE03","A0A2R8YE03","unreviewed","A0A2R8YE03_HUMAN","Ankyrin repeat domain-containing protein 11","ANKRD11","","ANKRD11","","","","ENST00000642333.1;ENST00000642695.1;ENST00000644784.1;ENST00000646838.1;",5.77677812826638e-08
"509","ANKRD36B",0.631103575489366,6.12222607794876,16.4959362296107,0.000180219682545019,"Q8N2N9","Q8N2N9","reviewed","AN36B_HUMAN","Ankyrin repeat domain-containing protein 36B (CLL-associated antigen KW-1)","ANKRD36B","","ANKRD36B","identical protein binding [GO:0042802]","Q8IZU0; Q02040; Q8N2N9-4; Q92997; Q08426; Q8IYI6; P55040; Q9BZE0; Q8N8X9; P17568; Q96HA8; O00560; O75528; Q8WVP5; Q99757; Q6F5E7; Q8TBK6","","ENST00000258459.12 [Q8N2N9-1];ENST00000359901.9 [Q8N2N9-1];ENST00000443455.5 [Q8N2N9-4];",0.00618311598570243
"550","ANXA2",-0.55176299526955,10.5791202032476,37.6047714027298,1.35774718477797e-08,"H0YLV6","H0YLV6","unreviewed","H0YLV6_HUMAN","Annexin","ANXA2","","ANXA2","basement membrane [GO:0005604]; extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; cytoskeletal protein binding [GO:0008092]; phospholipase inhibitor activity [GO:0004859]","","SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004370}. Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000256|ARBA:ARBA00004302}.","ENST00000558503.6;",2.0583026314355e-06
"552","ANXA3",0.843442416953873,3.33705306797037,14.4111168581492,0.00023985747657071,"P12429","P12429","reviewed","ANXA3_HUMAN","Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)","ANXA3 ANX3","FUNCTION: Inhibitor of phospholipase A2, also possesses anti-coagulant properties. Also cleaves the cyclic bond of inositol 1,2-cyclic phosphate to form inositol 1-phosphate.","ANXA3","axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; specific granule [GO:0042581]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; phospholipase A2 inhibitor activity [GO:0019834]; animal organ regeneration [GO:0031100]; defense response to bacterium [GO:0042742]; hippocampus development [GO:0021766]; neutrophil degranulation [GO:0043312]; phagocytosis [GO:0006909]; positive regulation of angiogenesis [GO:0045766]; positive regulation of DNA metabolic process [GO:0051054]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell migration [GO:0010595]; response to glucocorticoid [GO:0051384]; response to growth factor [GO:0070848]","","","ENST00000264908.11;",0.00763949969351272
"564","AP1AR",0.48417956468422,6.06611123160192,17.3355844592805,6.20981202210783e-05,"Q63HQ0","Q63HQ0","reviewed","AP1AR_HUMAN","AP-1 complex-associated regulatory protein (2c18) (Adaptor-related protein complex 1-associated regulatory protein) (Gamma-1-adaptin brefeldin A resistance protein) (GBAR) (Gamma-BAR) (Gamma-A1-adaptin and kinesin interactor) (Gadkin)","AP1AR C4orf16 PRO0971","FUNCTION: Necessary for adaptor protein complex 1 (AP-1)-dependent transport between the trans-Golgi network and endosomes. Regulates the membrane association of AP1G1/gamma1-adaptin, one of the subunits of the AP-1 adaptor complex. The direct interaction with AP1G1/gamma1-adaptin attenuates the release of the AP-1 complex from membranes. Regulates endosomal membrane traffic via association with AP-1 and KIF5B thus linking kinesin-based plus-end-directed microtubular transport to AP-1-dependent membrane traffic. May act as effector of AP-1 in calcium-induced endo-lysosome secretion. Inhibits Arp2/3 complex function; negatively regulates cell spreading, size and motility via intracellular sequestration of the Arp2/3 complex. {ECO:0000269|PubMed:15775984, ECO:0000269|PubMed:19706427, ECO:0000269|PubMed:21525240, ECO:0000269|PubMed:22689987}.","AP1AR","cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; transport vesicle [GO:0030133]; AP-1 adaptor complex binding [GO:0035650]; kinesin binding [GO:0019894]; negative regulation of cell motility [GO:2000146]; negative regulation of receptor recycling [GO:0001920]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; protein transport [GO:0015031]; regulation of Arp2/3 complex-mediated actin nucleation [GO:0034315]; substrate adhesion-dependent cell spreading [GO:0034446]; vesicle targeting, trans-Golgi to endosome [GO:0048203]","Q07866-2","SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network. Late endosome. Early endosome. Note=Localizes to the juxta-nuclear Golgi region and to tubular structures throughout the cytoplasm, which are highly mobile and cycle between the juxta-nuclear area and the cell periphery.","ENST00000274000.10 [Q63HQ0-1];ENST00000309703.10 [Q63HQ0-2];",0.00268077447912452
"575","AP2B1",0.43516375959111,6.80631800057993,14.9269937904137,0.000195739681907533,"P63010","P63010","reviewed","AP2B1_HUMAN","AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)","AP2B1 ADTB2 CLAPB1","FUNCTION: Component of the adaptor protein complex 2 (AP-2). Adaptor protein complexes function in protein transport via transport vesicles in different membrane traffic pathways. Adaptor protein complexes are vesicle coat components and appear to be involved in cargo selection and vesicle formation. AP-2 is involved in clathrin-dependent endocytosis in which cargo proteins are incorporated into vesicles surrounded by clathrin (clathrin-coated vesicles, CCVs) which are destined for fusion with the early endosome. The clathrin lattice serves as a mechanical scaffold but is itself unable to bind directly to membrane components. Clathrin-associated adaptor protein (AP) complexes which can bind directly to both the clathrin lattice and to the lipid and protein components of membranes are considered to be the major clathrin adaptors contributing the CCV formation. AP-2 also serves as a cargo receptor to selectively sort the membrane proteins involved in receptor-mediated endocytosis. AP-2 seems to play a role in the recycling of synaptic vesicle membranes from the presynaptic surface. AP-2 recognizes Y-X-X-[FILMV] (Y-X-X-Phi) and [ED]-X-X-X-L-[LI] endocytosis signal motifs within the cytosolic tails of transmembrane cargo molecules. AP-2 may also play a role in maintaining normal post-endocytic trafficking through the ARF6-regulated, non-clathrin pathway. During long-term potentiation in hippocampal neurons, AP-2 is responsible for the endocytosis of ADAM10 (PubMed:23676497). The AP-2 beta subunit acts via its C-terminal appendage domain as a scaffolding platform for endocytic accessory proteins; at least some clathrin-associated sorting proteins (CLASPs) are recognized by their [DE]-X(1,2)-F-X-X-[FL]-X-X-X-R motif. The AP-2 beta subunit binds to clathrin heavy chain, promoting clathrin lattice assembly; clathrin displaces at least some CLASPs from AP2B1 which probably then can be positioned for further coat assembly. {ECO:0000269|PubMed:14745134, ECO:0000269|PubMed:14985334, ECO:0000269|PubMed:15473838, ECO:0000269|PubMed:19033387, ECO:0000269|PubMed:23676497}.","AP2B1","AP-2 adaptor complex [GO:0030122]; clathrin adaptor complex [GO:0030131]; clathrin-coated endocytic vesicle [GO:0045334]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; endolysosome membrane [GO:0036020]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]; clathrin binding [GO:0030276]; signal sequence binding [GO:0005048]; aorta development [GO:0035904]; clathrin-dependent endocytosis [GO:0072583]; coronary vasculature development [GO:0060976]; intracellular protein transport [GO:0006886]; kidney development [GO:0001822]; postsynaptic neurotransmitter receptor internalization [GO:0098884]; synaptic vesicle endocytosis [GO:0048488]; ventricular septum development [GO:0003281]; vesicle-mediated transport [GO:0016192]","Q9UHB7; Q9UHB7-2; Q6ULP2; P52594; Q9Y6Q5; Q96CW1; Q14677; P42566; Q15811; P52292; Q5SW96; Q9UJ55; Q16626; Q8WWR8-2; P50542; Q96KG9; P12236; A8MWV9; Q9NVV9; O95153; Q99757; Q01081; Q8N4L5; P84092; Q9CR95; Q64729; P01023; Q92870-2; P05067; P05067-2; P49407; P54253; Q9UBB4; Q53TS8; P02461-2; P09172; Q14203-5; P14136; O95872; P78347-2; P42858; Q8WXH2; Q63ZY3; Q5SW96; Q17RB8; P51608; Q8IVT4; P40692; P19404; Q8WWR8-2; P29474; Q7Z3B4; Q99497; Q7Z412; Q9BXM7; D3DTS7; Q96HA1-2; O60260-5; P49768-2; Q9UIG4; P37840; P00441; Q13148; Q9BXU0; O14656-2; Q99757; Q01081; P09936; O95292; Q6ZN96","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14530274}. Membrane, coated pit {ECO:0000269|PubMed:14530274}; Peripheral membrane protein {ECO:0000269|PubMed:14530274}; Cytoplasmic side {ECO:0000269|PubMed:14530274}. Note=AP-2 appears to be excluded from internalizing CCVs and to disengage from sites of endocytosis seconds before internalization of the nascent CCV.","ENST00000610402.5 [P63010-2];ENST00000618940.4 [P63010-2];ENST00000621914.4 [P63010-1];",0.00658844271838848
